author_date_unix_timestamp,fix,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1446856078.000000,0,5,206,1900,9.817712,391534,0,0,1,0,0,949.5,0,393,0,0
1446863831.000000,0,3,24,72,4.091343,1289,958,480.5,1,0.085995,69,1935.5,1.758517,394,1,1.708507
1446875858.000000,0,2,22,47,3.980705,4223,160,249.808511,2,0.096097,42,23,1.465109,44,1,2.509363
1446922181.000000,0,2,16,21,3.475167,242,94,293.761905,2,0.615797,39,57,1.295111,64,1,32.28515
1446933504.000000,1,2,30,68,4.806515,2076,2015,360.044118,2,0.668915,130,101.5,1.191233,131,1,95.976933
1446935606.000000,1,1,1,2,0.721928,5,5,48.5,2,0.024329,6,136.5,31.827783,133,0,0
1447011446.000000,1,1,19,64,5.176908,2065,1814,404.125,2,0.993273,155,169.5,1.059965,197,1,23.076007
1447019816.000000,0,1,12,14,3.051596,110,110,349.928571,2,0.733121,47,1978.5,1.518653,1574,0,0
1447024477.000000,0,2,20,22,1.520999,430,405,295.681818,2,0.63159,87,1996.5,1.180474,1595,1,0.789236
1447033308.000000,0,1,10,34,4.227684,398,314,754.735294,2,1.05884,105,2024.5,1.170137,1629,1,8.250509
1447039421.000000,0,2,7,8,1.762271,164,127,145.375,2,0.428061,35,2045.5,1.502537,1636,0,0
1447039735.000000,1,1,1,1,0,5,4,373,2,0.003634,8,2050,276.159236,1637,0,0
1447045469.000000,0,2,3,3,1.53531,17,11,34.333333,2,0.754008,2,2052,0.966094,1639,1,2.90338
1447046850.000000,0,1,1,1,0,11,5,374,2,0.08235,9,2054,13.143359,1640,0,0
1447047697.000000,1,2,3,3,1.435521,4,5,113.333333,2,0.860783,11,2056,1.423455,1642,0,0
1447049284.000000,0,1,5,18,3.538595,1289,1289,918,2,0.193753,99,2066.5,2.035898,1660,1,0.502118
1447079934.000000,0,2,13,20,3.769535,270,214,670.45,2,0.406922,113,211.5,1.430708,216,1,0.147373
1447092667.000000,1,1,23,66,4.053448,1175,1127,240.166667,2,2.501968,100,254.5,1.051153,282,1,2.357106
1447123373.000000,1,1,47,74,4.294176,602,279,121.675676,2,2.411273,103,324.5,1.023947,356,1,0.861204
1447197781.000000,1,1,17,25,3.599271,218,281,409.36,2,2.331222,104,374,1.048953,381,1,2.058738
1447206079.000000,0,1,1,1,0,25,11,49,2,1.833125,8,387,1.545517,382,0,0
1447209048.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1447271531.000000,0,2,7,9,1.210202,512,15,375.555556,2,2.650503,39,392,1.118756,390,1,0.286921
1447296321.000000,1,2,48,325,6.291576,3498,1599,261.335385,2,4.098601,522,559,1.015586,714,1,0.918229
1447300802.000000,0,2,3,8,2.169577,503,0,35.375,3,0.649891,10,3.5,0.894497,2,0,0
1447301042.000000,0,2,3,3,1.581412,57,3,64.666667,3,0.002778,3,9,221,4,0,0
1447301260.000000,0,2,3,3,1.584963,0,57,82.666667,3,0.002523,6,12,243.201835,6,0,0
1447301481.000000,0,1,1,1,0,1,1,8,3,0.002558,3,14,391.950226,7,0,0
1447356420.000000,1,3,26,48,4.090834,811,694,313.9375,2,3.834877,97,745.5,1.022044,1,1,5.972627
1447370756.000000,0,1,1,2,1,2,2,54.5,3,0.805723,14,15.5,1.927829,9,0,0
1447375656.000000,1,1,21,43,3.908818,397,580,516.44186,2,1.846473,146,791,1.026481,801,1,3.686169
1447382085.000000,1,1,11,22,3.614058,264,131,514.590909,2,2.370922,61,823.5,1.039498,823,1,19.854109
1447387118.000000,0,2,2,2,0.485461,16,3,19,3,0.591551,8,17.5,4.062882,7,0,0
1447389228.000000,0,1,1,3,1.361869,149,87,51,3,0.339383,3,20,1.982175,10,1,98.816389
1447397186.000000,0,1,1,1,0,17,16,106,3,0.092106,4,22,11.856999,11,0,0
1447437908.000000,0,2,3,5,2.320455,70,0,53.4,3,0.554773,17,25,1.814893,15,0,0
1447694141.000000,1,2,24,35,3.516127,488,78,588.914286,2,4.856764,126,852,1.020418,2,1,15.174444
1447701096.000000,1,1,26,291,7.427478,726,765,190.498282,2,9.013103,345,1015,1.002658,1148,1,21.191944
1447746152.000000,1,1,27,59,3.658828,2975,512,383.661017,2,5.001121,143,1190,1.011565,1207,1,1.46184
1447816113.000000,0,1,1,1,0,87,58,121,3,4.377373,6,28,1.228448,16,1,7.212095
1447820708.000000,0,1,2,2,0.999743,106,0,20.5,3,2.215278,2,29.5,1.225705,18,0,0
